text|date
"Mandatory #Quarantine: Day 1

4 kids, 2 adults, 2 hotel rooms. We will be ok.

#Australia #Perth https://t.co/PYJt0u9yJf"|2021-01-07 23:56:43
We've been working on some secret projects during #quarantine... who's excited to see them?|2021-01-07 23:48:32
"California sees two-day record of coronavirus deaths 
#Coronavirus #COVID19 #Pandemic #Quarantine 
https://t.co/EuLoBYJ9Z6"|2021-01-07 23:33:38
"3-ply masks now available at https://t.co/ArTCPD6p5Z
.
.
.
#facemask #mask #plaid #inthistogether #staysafe #wearingiscaring #quarantine #lockdown #stcatharines #Niagara #Ontario #Canada
https://t.co/P7fgUvmwxR https://t.co/vemR0KSDLs"|2021-01-07 23:28:20
"We're all fed up with the #corona #pandemic
This song describes the #limbo we're in and that, at some point, it'll be over
Hope you like it❤

#nowplaying #music #Spotify #synthpop #synth #downtempo #lockdown #quarantine #vaccine #hanginthere #staysafe

https://t.co/45jaMc7MAa https://t.co/x4DcGwYZ8C"|2021-01-07 23:25:00
Why can’t we impose a compulsory quarantine as per Australia? #COVID19 #travel #Quarantine  https://t.co/fNjlqfOEM6|2021-01-07 23:15:05
"@kary_cee @artfulbunny @ScottMorrisonMP @AnnastaciaMP A bit slow is Scott but I suspect he’s shitting himself after watching the people turn on Trump after the monumental invasion of the MAGAs 
#auspol #quarantine #COVID19Aus #ScottyFromMarketing"|2021-01-07 23:14:34
Follow this account for more fun and relatable #Quarantine and #Coronavirus content! :) https://t.co/oz7fubwkIj|2021-01-07 23:05:52
"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety#onlineshopping #socialdistancing #Quarantine
CDC recommends the use of cloth face coverings to supplement social distancing in fight against spread of  #covid19
https://t.co/U3PLC00eep https://t.co/9016i6lexj"|2021-01-07 23:04:04
"Why are so many of us noticing changes to their sleep since #quarantine began? The answers to this question are manifold. Hear what @LifeSpeak has to say: https://t.co/PKpxTekVzv 
#SleepHygiene https://t.co/rzSlxOUmPZ"|2021-01-07 23:00:24
"Look what I got at my local Grathobbies store in Ottawa. Now I have to find time to build this with my son and spend some quality son/father time. 

#thetankrc @GreatHobbies #greathobbies #supportlocalbusiness #supportsmallbusiness #tamiya #fatherandson #quarantine #qualitytime https://t.co/tToUS7mzmM"|2021-01-07 22:50:26
"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety#onlineshopping #socialdistancing #Quarantine
CDC recommends the use of cloth face coverings to supplement social distancing in fight against spread of  #covid19
https://t.co/U3PLC00eep https://t.co/cPATCQWlF8"|2021-01-07 22:48:04
find out how to effectively manage shelf clutter - learn effective techniques for organizing your closets - find Home Organization Life Coaching info at https://t.co/bCbpRTb3Xs  #Quarantine https://t.co/0nTDzCkUBS https://t.co/iGTw18vNDE|2021-01-07 22:43:40
Politics Over a  Pandemic? What’s more important right now? #choice #love #instagram #covid #like #instagood #photography #summer #follow #fashion #art #music #photooftheday #life #happy #coronavirus #a #k #quarantine #nature #new #memes #style #beautiful #s #o #likeforlikes https://t.co/fjuyt6vD7E|2021-01-07 22:42:26
Some tips and tricks to get through. #quarantine #tipsandtricks #reachout #mentalhealthmatters https://t.co/XcqB6EeeSh|2021-01-07 22:38:28
@SteveKubota @pietrosd @suziday123 @_drazzari @GrnLakeGirl @JetsettersFlyin @Constan70997526 @DivaVinophile @TheSavvyChef1 @nineov @TalesoftheCork @magee333 @ccatmpt @LisaMRomano @LisaRivera2207 @SashaEats @SeagreenWench @forkmespoonme @Friscokid49 @always5star @VilaThaiCuisine @OllieOZwineUK @DemiCassiani @JeremyPalmer7 @CullAndPistol @waterstcafe @JoeFortesVan @CoastRestaurant @baodowngastro @FannyBayOysters Soon as this %#?!$&amp;@ #travelban #Quarantine crap is lifted LookOut ‼️ Let’s hit a few‼️|2021-01-07 22:38:09
"No chill whatsoever.

#ThisThingsHappen  #ComedyDay #nochill #issajoke #stayhome #lockdown #socialdistancing  #Quarantine   #De_philosopher_djkyos https://t.co/bEtQSPnEfw"|2021-01-07 22:36:26
"Costume for your cat 🐱
Check out:
https://t.co/JmGxYqM9sC
🐱🐱🐱🐱🐱🐱🐱🐱🐱
#cats #CatsOfTwitter #Caturday #CatsOnTwitter #catsofinstagram #CatholicTwitter #CuteCat #cute #funny #funnycats #cosplay #lockdown #QuarantineLife #Quarantine #QuarantineCats #cutenessOVERLOAD https://t.co/EB5NFmA1Rw"|2021-01-07 22:32:30
@WeAreTennis @bandsports Figured that was the real reason why Roger isn't coming to AO. Can't blame him really. #Quarantine|2021-01-07 22:25:52
@billbowtell @abcnews The Feds need to create some proper #quarantine facilities - they have sat on their hands for a YEAR and shoved all the responsibility on to states so they can never be blamed for any failures. Time to step up! It is their responsibility under the Constitution.|2021-01-07 22:25:16
#COVID19Qld now can we please ensure #quarantine 🏨➕🏥protections are highest level #airborne #PPE &amp; that every level of hierarchy of control has been reviewed and strictly applied! https://t.co/9o4A89Zj5T|2021-01-07 22:24:07
Update 7th Jan 2021 @ 22:15 hrs UTC: Coronavirus Confirmed Cases and Deaths by Country, Territory, or Conveyance. Subject To Change: #coronavirus #COVID19 #VUI20201201 #pandemic #quarantine #GlobalEmergency #HealthEmergency https://t.co/4bvsIRC65d|2021-01-07 22:22:57
Haven’t the Wildcats gone to Brisbane? What does that mean now? Does this put the NBLseason opening in jeopardy? Mmmmm #nbl #perthwildcats #covid #Quarantine|2021-01-07 22:21:45
"What Part Of @ Attorney General Of Florida Is Not Crystal Clear ?

#WearAMask #Coronavirus #SocialDistanacing #DistanceLearning #Outbreak #Pandemic #Quarantine #Lockdown #Florida"|2021-01-07 22:19:51
First full week in my new position at work and 💥BAM💥 just told I have to stay home for 10 days in #Quarantine 😢|2021-01-07 22:19:39
Finished my 25lb #quarantine rice bag!|2021-01-07 22:18:23
#teachers, if you have a Ss who gets #COVID19, what are the quarantine protocols? Does the whole class #quarantine or just some? https://t.co/LAYpS4UE4m|2021-01-07 22:12:29
📷 My quarantine drawing is featured on @fmkgallery! * Accompanying an article on their website, titled “Social Media Plague.” Thanks to the kind folks at Fly More Kites!🙏 * #artoftheday #jawshsmyth #meltingman #quarantine #covidart... https://t.co/e9rBvvnVXL|2021-01-07 22:12:24
#ProTip not only during #quarantine: https://t.co/A0JNH1UENE|2021-01-07 22:12:15
Have you got your check? #greenscreen #fyp #stimulus #covid #stimuluscheck #quarantine #coronavirus #stimuluspackage #money #trump #pandemic #taxseason #taxes #socialdistancing #fascinatingly #challenging #stimuluschecks #mystyle #photographer #engaging #canonpowershotg #corona https://t.co/tmiifE2DHf|2021-01-07 22:10:48
