text|date
LUDICROUS that @Keir_Starmer #LeftHome to be in @BBCNews studio (no mask no screen) face to face with @AndrewMarr9 telling people importance to #StayHome and accusing @10DowningStreet of #MixedMessaging /What #AbsoluteBlindness and exemplary mixmessage leadership #Marr #catchup|2021-01-10 23:57:53
We have topped 373,000 COVID-19 deaths and over 130,000 people in the United States are hospitalized with the virus. #WearAMask #WashHands #SocialDistancing #StayHome|2021-01-10 23:56:47
could have survived if only there had been an ICU bed available, or if an ambulance had turned up quickly, or if the person who had COVID had worn a mask. No one wants our healthcare workers to have to make a choice about who gets an ICU bed. Please #WearAMask &amp; #StayHome.|2021-01-10 23:53:04
"Prime Minister Announces National Lockdown #lockdown #covid19 #coronavirus #stayhome #protecttheNHS #savelives
https://t.co/eWtqs5DYhb"|2021-01-10 23:50:03
"Prime Minister Announces National Lockdown #lockdown #covid19 #coronavirus #stayhome #protecttheNHS #savelives
https://t.co/DTouNQHqDl"|2021-01-10 23:50:02
"10 days into 2021:
Caring remotely for my parents &amp; family in CA who are concurrently infected by the virus + 
Working on our clinic's Covid19 vaccine protocol &amp; staff training +
Having a full schedule to see patients 
= EXHAUSTED 
#twitterRN #stayhome"|2021-01-10 23:49:47
Brie Cheese. #homemade #foodlover #foodie #foodphotography #foodstagram #foodblogger #cooking #cookingathome #passion #stayhome #staysafe #stayhealthy #snacks #familytime #family https://t.co/3nkJJXGQXN|2021-01-10 23:48:50
Rumor this might be the new warzone map? #Warzone #GamingLife #ModernWarfare #BlackOpsColdWar #videogamesforlife #videogames #xbox #playstation #xboxseriesx #Twitch #CallofDuty #StayHome https://t.co/y17QqRgtWk|2021-01-10 23:48:50
"Good morning,dear Twitter friends🌸
#StayHome #StaySafe https://t.co/BjhkEMHkNY"|2021-01-10 23:47:20
"So so true.
So many colleagues are absolutely overwhelmed. Please help us and colleagues to look after you by following the rules.
Don't spread the virus strains and cause harm or death to others loved ones or your own by breaking the rules.
#StayHome #StayHomeSaveLives https://t.co/XJ982ZXJbI"|2021-01-10 23:44:50
"Human, alien, other: Why we’re all still in love with David Bowie
#DavidBowie 
#RIPDavidBowie
#WearAMask
#WashYourHands
#KeepYourDistance
#StayHome
#StayHomeSaveLives
https://t.co/obBWj0XUgS"|2021-01-10 23:44:02
"Cases: 90,180,310 (+36,435) 
Deaths: 1,932,948 (+0) 
Recovered: 49,948,772 (+0) 
Active Cases: 40,231,538 (44.61%)
Completed Cases: 51,881,720 (57.53%)
Mortality Rate: 2.14% (No Change)
Case Fatality Rate: 3.73% (No Change)

#COVID19 #Coronavirus #StayHome"|2021-01-10 23:43:03
"Wide Tooth Wooden Comb, Valentines Day Gift, Retirement Gift, Girlfriend Birthday Gift, Curly Hair Wood Comb, Bridal Shower Gift 4.9""/12.5cm https://t.co/X08P5Uy6U6 via @Etsy by @ArakiCrafts 
#StayHome 
#HealthyLiving 
#wellness 
#shoplocal"|2021-01-10 23:42:22
"Cases: 90,143,875 (+0) 
Deaths: 1,932,948 (+682) 
Recovered: 49,948,772 (+17,124) 
Active Cases: 40,195,103 (44.59%)
Completed Cases: 51,881,720 (57.55%)
Mortality Rate: 2.14% (No Change)
Case Fatality Rate: 3.73% (No Change)

#COVID19 #Coronavirus #StayHome"|2021-01-10 23:42:03
Stay at home is the message. How can Paul Hartley &amp; Graham Alexander attend the Aberdeen v Rangers game today? #scotland #scottishfootball #lockdownscotland #StayHome|2021-01-10 23:41:47
"Evil laugh of Transition year parent #justsayin #homeschooling #COVID19 #StayHome @lee_herlihy 
Sorry for you pain"|2021-01-10 23:41:20
I get that even during a pandemic there are errands that need to be done &amp; that might mean no option but to bring small child(ren) along. But I just DO NOT get whole families (esp. 2 parents + teens) taking a big fun trip to @Costco together in the middle of this. #StayHome !|2021-01-10 23:39:54
"This is so serious 🧐 and there are still people acting like it’s all not real #Corona #madpeople 
#StayHome #StayAtHomeSaveLives #WearAMask #CoronavirusStrain #COVID19 https://t.co/QRrCmoHdfL"|2021-01-10 23:39:53
"#COVID19 deniers.

Please go away. 
Unfollow me. 

I can't take much more of your nonsense.

#StayHome #WearAMask #WashYourHands 

#Goodnight 😴"|2021-01-10 23:38:39
@Spence47204515 @LabourRichard Yep agree and no gatherings #StayHome #keepsafe #GiveHealthWorkersARise|2021-01-10 23:38:33
"At least we're #safe in #Lockdown. Let them work their #magic 😆🤷🏾‍♀️ on this #coronavirus kati myaka meka?👌🏾🆗✌🏾 

Safe #Virtual tours of all the countries we never visited. ▶️💺🍿

#StayHome 
#StayHomeSaveLives 
#StayHomeStaySafe 
#SelfCareSunday #SelfCare2021 #HappyNewYear2021 https://t.co/frgaKKRgHS"|2021-01-10 23:38:16
@OldMackIsBack With any luck aye? 😂 Yes please continue to ignore them. #StayHome #ItsNotTheFluBro https://t.co/SYv83ZpPmj|2021-01-10 23:37:46
@RiochtConor2 😔When you think its an essentially preventable disease if we had a zero tolerance approach from early on.. chilling to think my local ICU has no capacity... #StayHome|2021-01-10 23:37:46
i bet if #DavidAttenborough told everyone to #stayhome , we’d have extremely low numbers by now.|2021-01-10 23:37:26
"@laurenboebert Hmm. One is a business enforcing their terms of service.
The other is a failure because trump &amp; GOP are willing to kill people rather than follow science in a pandemic. The rest of the world wants to know WTF is wrong with us because they're already open. 
#wearamask
#stayhome"|2021-01-10 23:37:11
TONIGHT: A #StayHome edition of The Industrial Factory featuring lots of new music from Front Line Assembly (@F7A), @Marc_Heal, @BoyHarsher remixed by @Krisbaha, Sierra, and much more. TUNE IN: 8-10pm EST, @wzbc, 90.3fm [Boston area]; https://t.co/tgzagLBfv0 [live streaming]|2021-01-10 23:36:16
"@philipnolan1 Doing ok, glad the kids are staying home from school even though will have to work by  themselves as I am working. Scary working tomorrow,  12 patients booked in but will be careful. 
Looking forward to getting vaccine and starting to see an end to this mess. #StaySafe #StayHome"|2021-01-10 23:32:16
Never stuck at home... always our favourite place to be! #StayHome #StaySafe #StayHomeSaveLives https://t.co/9zW2CoSWmo|2021-01-10 23:31:08
.@CitySSM ⬇️ 3 yesterday and 7 today for 10 new cases. Note all of the ‘close contact’ and ‘unknown’ transmission. We can bring these numbers down by #StayHome and if we are out then by #PhysicalDistancing #WearAMask #WashYourHands. https://t.co/UpY3Ci4Nm9|2021-01-10 23:31:03
"This is the worst fear of a health system being realised.

Our hospitals will be seriously stretched over the coming weeks, those who will end up in hospital have already been infected.

Our actions now will prevent hospital admissions in 2-3 weeks, it’s up to us all.

#StayHome https://t.co/jyLbt8t5qw"|2021-01-10 23:31:02
"Things in Yokohama are really serious 

Please #StayHome https://t.co/4KdxuZN6sY"|2021-01-10 23:30:37
